Jugador,Partidos Jugados,Titular,Suplente,Sin ingresar,G + A,Goles,Asistencias,T.A,T.R,Minutos de titular,Minutos de Suplente,Total,Goles cada 90,Asistencias cada 90,G/A cada 90
Villalba. Jorge,13,13,0,0,-13,-13,0,2,0,1162,0,1162,-1.01,0.0,-1.01
Stuckrath. Leonel,1,0,1,12,0,0,0,0,0,0,8,8,0.0,0.0,0.0
Gutman. Ivan,9,8,1,0,0,0,0,2,0,720,30,750,0.0,0.0,0.0
Sucari. Santiago,13,9,4,0,0,0,0,4,0,748,116,864,0.0,0.0,0.0
Cohen. Gaston,12,12,0,0,1,1,0,3,1,1075,0,1075,0.08,0.0,0.08
Belfiore. Matias,1,0,1,4,0,0,0,0,0,0,4,4,0.0,0.0,0.0
Braun. Manuel,10,9,1,2,0,0,0,1,1,809,15,824,0.0,0.0,0.0
Maleh. Joan,4,1,3,3,0,0,0,0,0,90,61,151,0.0,0.0,0.0
Gauna. Tomas,5,4,1,2,1,1,0,2,0,237,5,242,0.37,0.0,0.37
Schor. Diego,9,9,0,0,1,0,1,3,0,686,0,686,0.0,0.13,0.13
Yedlin. Julian,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Saroka. Federico,3,0,3,2,0,0,0,1,0,0,100,100,0.0,0.0,0.0
Tolcachier. Ian,8,5,3,3,0,0,0,1,0,344,40,384,0.0,0.0,0.0
Zalcman. Manuel,13,13,0,0,0,0,0,4,0,1157,0,1157,0.0,0.0,0.0
Spolski. Jack,1,0,1,2,0,0,0,0,0,0,13,13,0.0,0.0,0.0
Schvarzman. Hernan,9,8,1,2,2,1,1,0,0,619,29,648,0.14,0.14,0.28
Lief. Mateo,9,2,7,1,0,0,0,1,0,142,151,293,0.0,0.0,0.0
Mamed. Pedro,5,1,4,1,1,0,1,0,0,62,56,118,0.0,0.76,0.76
Schmitt. Benjamin,10,8,2,0,2,2,0,2,0,598,63,661,0.27,0.0,0.27
Suaya. Valentino,12,7,5,0,4,3,1,0,0,525,169,694,0.41,0.14,0.54
Libenson. Andres,9,8,1,1,2,1,1,1,0,535,31,566,0.16,0.16,0.32
Szvalb. Federico,8,3,5,0,2,0,2,1,1,224,103,327,0.0,0.55,0.55
Regueira. Joaquin,7,5,2,0,1,0,1,1,0,387,70,457,0.0,0.2,0.2
Salmun. Gonzalo,4,0,4,2,0,0,0,0,0,0,37,37,0.0,0.0,0.0
Baldoma. Matias,2,1,1,0,0,0,0,1,0,45,23,68,0.0,0.0,0.0
Rozic. Tomas,13,13,0,0,6,4,2,2,0,1166,0,1166,0.31,0.15,0.46
Brunfman. Ariel,5,4,1,0,4,2,2,2,0,337,11,348,0.52,0.52,1.03
