Jugador,Partidos Jugados,Titular,Suplente,Sin ingresar,G + A,Goles,Asistencias,T.A,T.R,Minutos de titular,Minutos de Suplente,Total,Goles cada 90,Asistencias cada 90,G/A cada 90,Edad,Posicion
Villalba. Jorge,26,26,0,0,-22,-22,0,2,0,2287,0,2287,-0.87,0.00,-0.87,21,Arquero
Stuckrath. Leonel,1,0,1,21,0,0,0,0,0,0,8,8,0.00,0.00,0.00,22,Arquero
Gutman. Ivan,20,19,1,0,1,0,1,6,0,1513,30,1543,0.00,0.06,0.06,23,Defensor
Sucari. Santiago,19,13,6,4,0,0,0,5,0,1035,188,1223,0.00,0.00,0.00,25,Defensor
Cohen. Gaston,21,21,0,0,2,1,1,5,3,1883,0,1883,0.05,0.05,0.10,23,Defensor
Belfiore. Matias,1,0,1,8,0,0,0,0,0,0,4,4,0.00,0.00,0.00,25,Defensor
Braun. Manuel,14,10,4,7,0,0,0,1,1,809,82,891,0.00,0.00,0.00,26,Defensor
Maleh. Joan,16,13,3,3,0,0,0,3,1,1101,61,1162,0.00,0.00,0.00,20,Defensor
Gauna. Tomas,9,5,4,7,1,1,0,3,0,296,43,339,0.27,0.00,0.27,23,Defensor
Schor. Diego,21,20,1,0,3,1,2,5,0,1514,31,1545,0.06,0.12,0.17,26,Defensor
Yedlin. Julian,1,1,0,2,0,0,0,0,0,63,0,63,0.00,0.00,0.00,24,Mediocampista
Saroka. Federico,7,2,5,3,0,0,0,2,0,135,139,274,0.00,0.00,0.00,21,Mediocampista
Tolcachier. Ian,10,5,5,10,0,0,0,1,0,344,55,399,0.00,0.00,0.00,25,Mediocampista
Zalcman. Manuel,24,24,0,0,0,0,0,6,0,2074,0,2074,0.00,0.00,0.00,22,Mediocampista
Spolski. Jack,1,0,1,2,0,0,0,0,0,0,13,13,0.00,0.00,0.00,24,Mediocampista
Schvarzman. Hernan,17,13,4,7,3,1,2,0,0,1015,96,1111,0.08,0.16,0.24,23,Mediocampista
Lief. Mateo,17,4,13,1,1,0,1,1,0,262,322,584,0.00,0.15,0.15,20,Mediocampista
Mamed. Pedro,8,3,5,7,1,0,1,0,0,173,105,278,0.00,0.32,0.32,19,Mediocampista
Schmitt. Benjamin,22,19,3,1,3,2,1,2,0,1376,108,1484,0.12,0.06,0.18,18,Mediocampista
Suaya. Valentino,18,9,9,0,5,3,2,0,0,662,307,969,0.28,0.19,0.46,18,delantero
Libenson. Andres,18,13,5,1,3,1,2,2,0,922,188,1110,0.08,0.16,0.24,25,delantero
Szvalb. Federico,18,4,14,3,2,0,2,1,1,281,309,590,0.00,0.31,0.31,22,delantero
Regueira. Joaquin,7,5,2,0,1,0,1,1,0,387,70,457,0.00,0.20,0.20,24,delantero
Salmun. Gonzalo,15,5,10,2,3,0,3,2,0,393,141,534,0.00,0.51,0.51,19,delantero
Baldoma. Matias,6,2,4,1,3,2,1,2,1,104,104,208,0.87,0.43,1.30,22,delantero
Rozic. Tomas,26,26,0,0,16,13,3,4,0,2336,0,2336,0.50,0.12,0.62,26,delantero
Brunfman. Ariel,13,10,3,0,8,5,3,7,0,781,69,850,0.53,0.32,0.85,20,delantero
Mingolla. Naza,13,13,0,0,1,0,1,4,0,1163,0,1163,0.00,0.08,0.08,26,Mediocampista
Mamed. Lukas,5,0,5,2,1,1,0,0,0,0,93,93,0.97,0.00,0.97,17,delantero
Kilemnic. Dan,1,1,0,2,0,0,0,0,0,90,0,90,0.00,0.00,0.00,22,Defensor
Bergman. Julian,1,0,1,3,0,0,0,0,0,0,45,45,0.00,0.00,0.00,25,Arquero
